"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"70",0.21,10,"bart",4.04691293907022,-0.0633834599287008,0.00996432353550604,-0.543557763534239
"71",0.21,11,"none",4.31654472579953,-0.068404164339942,0.00494361912426489,-0.273925976804928
"72",0.21,11,"rake",4.33318687515153,-0.0693552705811935,0.0039925128830134,-0.257283827452933
"73",0.21,11,"strat",4.68417463307548,-0.0747497771358095,-0.00140199367160267,0.0937039304710234
"74",0.21,11,"calib",4.26767492964036,-0.0680715770724863,0.00527620639172058,-0.322795772964104
"75",0.21,11,"lasso",4.38876206030973,-0.069407956899743,0.00393982656446384,-0.20170864229473
"76",0.21,11,"logit",4.70665212274711,-0.0752630316021205,-0.00191524813791365,0.116181420142654
"77",0.21,11,"bart",4.86952980753294,-0.0780012481183424,-0.00465346465413552,0.279059104928481
"78",0.21,12,"none",4.20145186946602,-0.0660126100125852,0.00733517345162164,-0.389018833138441
"79",0.21,12,"rake",5.21439205225692,-0.0839072074041803,-0.0105594239399735,0.623921349652464
"80",0.21,12,"strat",5.30215365025318,-0.0851426031083188,-0.0117948196441119,0.711682947648717
"81",0.21,12,"calib",3.10374882884591,-0.0485008057467235,0.0248469777174834,-1.48672187375855
"82",0.21,12,"lasso",4.16993916760214,-0.0652806922903507,0.00806709117385618,-0.420531535002322
"83",0.21,12,"logit",4.83133520192451,-0.0772827015306566,-0.00393491806644973,0.240864499320053
"84",0.21,12,"bart",5.15693163691439,-0.0822994474704863,-0.00895166400627949,0.566460934309934
"85",0.21,13,"none",4.30280869857933,-0.0680837469507971,0.00526403651340979,-0.287662004025134
"86",0.21,13,"rake",4.36365659335613,-0.0697398050934486,0.0036079783707583,-0.226814109248329
"87",0.21,13,"strat",4.35822997787186,-0.0691322691181735,0.00421551434603339,-0.232240724732596
"88",0.21,13,"calib",3.42497167328456,-0.0539168133716928,0.0194309700925141,-1.1654990293199
"89",0.21,13,"lasso",4.23338034406479,-0.0668735683794762,0.00647421508473067,-0.357090358539673
"90",0.21,13,"logit",4.46260349346165,-0.0710408316545201,0.00230695180968676,-0.127867209142806
