"","prop_sampled","sim_num","method","(Intercept)","age","age_sq"
"66",0.136,10,"strat",0.819387133056095,0.0310240580332484,1.00172299621457e-05
"67",0.136,10,"calib",0.0381951148164336,1.80520675803944e-05,5.28910060787587e-10
"68",0.136,10,"lasso",0.261188671592987,0.198521031944029,0.000321932303464296
"69",0.136,10,"logit",0.784291325341777,0.0273261198623663,4.55462599379842e-06
"70",0.136,10,"bart",0.200221640024923,0.253803476525817,0.000607142304817645
"71",0.136,11,"none",0.737183674728657,0.00734626493807488,1.6815948652672e-06
"72",0.136,11,"rake",0.925719691793215,0.0131727995538605,1.83094521455162e-06
"73",0.136,11,"strat",0.630157675799941,0.00351835927450786,1.83127344059908e-07
"74",0.136,11,"calib",0.0315920026230573,6.36167605713525e-06,4.63731575184183e-11
"75",0.136,11,"lasso",0.843784245723141,0.0188213758038935,2.69702606659531e-06
"76",0.136,11,"logit",0.640420518024683,0.0466890208186551,1.64112546846282e-05
"77",0.136,11,"bart",0.549265097097107,0.00160766584615738,2.97404885004731e-08
"78",0.136,12,"none",0.052077813084378,0.718149329932656,0.0143160173606113
"79",0.136,12,"rake",0.000782375654049606,0.257830337742463,0.293208458954016
"80",0.136,12,"strat",0.0499085956136967,0.721430314015357,0.00990736447007496
"81",0.136,12,"calib",0.0274060439696689,1.3702274211379e-05,3.71347568213643e-10
"82",0.136,12,"lasso",0.00124100819297171,0.369607893699468,0.183120715902694
"83",0.136,12,"logit",0.00183317474630415,0.36422905683374,0.22247435820279
"84",0.136,12,"bart",0.00553051767880243,0.687611315443904,0.0634087397883818
"85",0.136,13,"none",0.964820557226761,0.0157890063345679,5.85581695606115e-06
"86",0.136,13,"rake",0.93039901041708,0.0151996645454479,3.11195505028452e-06
"87",0.136,13,"strat",0.931219358583481,0.0186900053475952,3.47695080044598e-06
"88",0.136,13,"calib",0.000939294938228469,1.08863039890807e-08,5.08943682807249e-15
"89",0.136,13,"lasso",0.752287926385404,0.039305944686253,2.52008800237866e-05
"90",0.136,13,"logit",0.561270515233593,0.0661905485085531,3.47992127872631e-05
"91",0.136,13,"bart",0.560580844034099,0.0602104069872094,2.92363309274617e-05
"92",0.136,14,"none",0.000643469037624489,0.272938356215059,0.321313496751204
"93",0.136,14,"rake",2.45939668326796e-05,0.047209831426765,0.858490788293179
"94",0.136,14,"strat",1.01038076413879e-05,0.0409663378015826,0.819681299569138
"95",0.136,14,"calib",0.00840990495256464,0.911999683454427,0.0305188412046329
"96",0.136,14,"lasso",0.000804020673562977,0.265755286715349,0.33116277036502
"97",0.136,14,"logit",6.42224688278248e-07,0.00643855131895334,0.576361512017229
"98",0.136,14,"bart",5.42967319502447e-06,0.0331516081023418,0.874551301738367
"99",0.136,15,"none",0.633374604189837,0.00558801011121674,1.4444470534037e-06
"100",0.136,15,"rake",0.273919716941822,0.245883881117494,0.000879856385009836
"101",0.136,15,"strat",0.471721144966339,0.109591773468115,0.000150685437868004
"102",0.136,15,"calib",0.000779264551519845,8.08295325309669e-08,9.9485115266689e-13
"103",0.136,15,"lasso",0.941847524321947,0.0275808008610149,1.5907874501389e-05
"104",0.136,15,"logit",0.253591590340965,0.239693118422824,0.000703987467835899
"105",0.136,15,"bart",0.20536940191524,0.280423050118925,0.00104043870394984
"106",0.136,16,"none",0.0709277993237856,0.576119209317896,0.00671219791871302
"107",0.136,16,"rake",0.00801929136472391,0.717593051565048,0.0591639140669387
"108",0.136,16,"strat",0.00915509481162093,0.817178273636233,0.0396155276811088
