"var","level","count_ukb_img","dist_ukb_img","count_ukb","dist_ukb","count_census","dist_census","count_hse16","dist_hse16","diff_ukb","diff_census","diff_hse"
"health_alc_weekly_total","14.365",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.375",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.4025",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","14.404",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.4185",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.423",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.433",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.46",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.4605",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.5175",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.518",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","14.535",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.5615",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.576",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.5915",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.605",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.625",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.654",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.69",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.719",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.75",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","14.8125",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","14.9375",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","14.98",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","140",NA,NA,2,3.97978270386437e-06,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","141",NA,NA,2,3.97978270386437e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","144",NA,NA,2,3.97978270386437e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","145",NA,NA,1,1.98989135193218e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","146",NA,NA,1,1.98989135193218e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","147.058",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","148",NA,NA,1,1.98989135193218e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","149",NA,NA,1,1.98989135193218e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","15",625,0.021321597925835,9305,0.018515939029729,NA,NA,24,0.00597907324364723,0.00280565889610598,NA,0.0153425246821877
"health_alc_weekly_total","15.029",NA,NA,NA,NA,NA,NA,4,0.000996512207274539,NA,NA,NA
"health_alc_weekly_total","15.058",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","15.087",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.115",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.116",NA,NA,NA,NA,NA,NA,4,0.000996512207274539,NA,NA,NA
"health_alc_weekly_total","15.154",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","15.1595",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.1725",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.232",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.288",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.2975",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","15.375",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","15.433",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.5",NA,NA,NA,NA,NA,NA,7,0.00174389636273044,NA,NA,NA
"health_alc_weekly_total","15.5125",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.529",NA,NA,NA,NA,NA,NA,3,0.000747384155455904,NA,NA,NA
"health_alc_weekly_total","15.575",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.625",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.721",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.75",NA,NA,NA,NA,NA,NA,5,0.00124564025909317,NA,NA,NA
"health_alc_weekly_total","15.779",NA,NA,NA,NA,NA,NA,3,0.000747384155455904,NA,NA,NA
"health_alc_weekly_total","15.805",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.808",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","15.837",NA,NA,NA,NA,NA,NA,2,0.00049825610363727,NA,NA,NA
"health_alc_weekly_total","15.8515",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.865",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","15.98",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","150",NA,NA,3,5.96967405579655e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","153",NA,NA,1,1.98989135193218e-06,NA,NA,NA,NA,NA,NA,NA
"health_alc_weekly_total","155.125",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","16",626,0.0213557124825163,9128,0.018163728260437,NA,NA,2,0.00049825610363727,0.00319198422207931,NA,0.020857456378879
"health_alc_weekly_total","16.029",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","16.058",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","16.0625",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
"health_alc_weekly_total","16.125",NA,NA,NA,NA,NA,NA,1,0.000249128051818635,NA,NA,NA
