"var","base_demo_sex","count_base","count_img","dist_base","dist_img","dist_diff"
"base_health_BMI_bucket","01-Underweight",2626,84,0.00522545469017392,0.00393756152439882,-0.0012878931657751
"base_health_BMI_bucket","02-Healthy",157438,7950,0.313284514665499,0.372662072844888,0.0593775581793889
"base_health_BMI_bucket","03-Overweight",214227,9271,0.426288454650376,0.434584915389303,0.00829646073892687
"base_health_BMI_bucket","04-Obese",125144,3990,0.249022963346201,0.187034172408944,-0.0619887909372574
"base_health_BMI_bucket","99-DNK/Refused",3105,38,0.00617861264774943,0.00178127783246613,-0.0043973348152833
"base_health_alc_freq","01-Every day or almost",101775,4642,0.202521192342898,0.217597149955468,0.01507595761257
"base_health_alc_freq","02-Three to four times pw",115445,6044,0.229723007123811,0.283316926826982,0.0535939197031706
"base_health_alc_freq","03-Once or twice pw",129297,5525,0.257286982130776,0.258988421694089,0.00170143956331331
"base_health_alc_freq","04-One to three times pm",55860,2324,0.111155330918932,0.108939202175034,-0.00221612874389784
"base_health_alc_freq","05-Special occasions",58013,1785,0.115439566999642,0.0836731823934749,-0.0317663846061669
"base_health_alc_freq","06-Never",40648,1005,0.0808851036733394,0.0471101110954859,-0.0337749925778536
"base_health_alc_freq","99-DNK/Refused",1502,8,0.00298881681060214,0.000375005859466554,-0.00261381095113559
"base_health_alc_weekly_total","-18",17,0,3.38281529828471e-05,0,-3.38281529828471e-05
"base_health_alc_weekly_total","-16",4,0,7.95956540772874e-06,0,-7.95956540772874e-06
"base_health_alc_weekly_total","-15",35,0,6.96461973176265e-05,0,-6.96461973176265e-05
"base_health_alc_weekly_total","-14",5,0,9.94945675966092e-06,0,-9.94945675966092e-06
"base_health_alc_weekly_total","-13",6,0,1.19393481115931e-05,0,-1.19393481115931e-05
"base_health_alc_weekly_total","-12",28,1,5.57169578541012e-05,4.68757324333193e-05,-8.84122542078189e-06
"base_health_alc_weekly_total","-11",14,0,2.78584789270506e-05,0,-2.78584789270506e-05
"base_health_alc_weekly_total","-10",14,0,2.78584789270506e-05,0,-2.78584789270506e-05
"base_health_alc_weekly_total","-9",37,0,7.36259800214908e-05,0,-7.36259800214908e-05
"base_health_alc_weekly_total","-8",19,0,3.78079356867115e-05,0,-3.78079356867115e-05
"base_health_alc_weekly_total","-7",17,0,3.38281529828471e-05,0,-3.38281529828471e-05
"base_health_alc_weekly_total","-6",92,1,0.000183070004377761,4.68757324333193e-05,-0.000136194271944442
"base_health_alc_weekly_total","-5",96,1,0.00019102956978549,4.68757324333193e-05,-0.00014415383735217
"base_health_alc_weekly_total","-4",84,3,0.000167150873562303,0.000140627197299958,-2.65236762623457e-05
"base_health_alc_weekly_total","-3",213,2,0.000423846857961555,9.37514648666385e-05,-0.000330095393094917
"base_health_alc_weekly_total","-2",246,5,0.000489513272575317,0.000234378662166596,-0.000255134610408721
"base_health_alc_weekly_total","-1",483,9,0.000961117522983245,0.000421881591899873,-0.000539235931083372
"base_health_alc_weekly_total","0",157208,5161,0.312826839654555,0.241925655088361,-0.0709011845661941
"base_health_alc_weekly_total","1",5778,231,0.0114975922314642,0.0108282941920968,-0.000669298039367409
"base_health_alc_weekly_total","2",17882,782,0.0355832371552513,0.0366568227628557,0.00107358560760434
"base_health_alc_weekly_total","3",21166,958,0.0421180403549966,0.0449069516711199,0.00278891131612324
"base_health_alc_weekly_total","4",26430,1216,0.0525928284315676,0.0570008906389162,0.00440806220734859
"base_health_alc_weekly_total","5",21609,1089,0.0429995622239026,0.0510476726198847,0.00804811039598211
"base_health_alc_weekly_total","6",30090,1464,0.0598758307796394,0.0686260722823794,0.00875024150273997
"base_health_alc_weekly_total","7",21588,1047,0.042957774505512,0.0490788918576853,0.00612111735217328
"base_health_alc_weekly_total","8",22711,1064,0.0451924224937318,0.0498757793090517,0.00468335681531986
"base_health_alc_weekly_total","9",16266,826,0.0323675727305289,0.0387193549899217,0.00635178225939281
"base_health_alc_weekly_total","10",19139,913,0.0380845305846301,0.0427975437116205,0.00471301312699041
"base_health_alc_weekly_total","11",10738,527,0.0213674533370478,0.0247035109923593,0.00333605765531146
"base_health_alc_weekly_total","12",18181,849,0.036178214669479,0.0397974968358881,0.00361928216640901
"base_health_alc_weekly_total","13",8801,471,0.0175130337883552,0.0220784699760934,0.00456543618773822
"base_health_alc_weekly_total","14",13353,647,0.0265710192223505,0.0303285988843576,0.00375757966200711
"base_health_alc_weekly_total","15",9305,448,0.018515939029729,0.021000328130127,0.00248438910039805
"base_health_alc_weekly_total","16",9128,455,0.018163728260437,0.0213284582571603,0.00316472999672329
"base_health_alc_weekly_total","17",5295,256,0.0105364747084809,0.0120001875029297,0.00146371279444882
"base_health_alc_weekly_total","18",8304,390,0.0165240577864449,0.0182815356489945,0.00175747786254966
"base_health_alc_weekly_total","19",3973,198,0.00790583834122657,0.00928139502179722,0.00137555668057065
"base_health_alc_weekly_total","20",7218,317,0.0143630357782465,0.0148596071813622,0.0004965714031157
"base_health_alc_weekly_total","21",5061,236,0.0100708401321288,0.0110626728542633,0.000991832722134562
"base_health_alc_weekly_total","22",4365,225,0.00868587575118399,0.0105470397974968,0.00186116404631285
"base_health_alc_weekly_total","23",2633,134,0.00523938392963744,0.00628134814606478,0.00104196421642734
"base_health_alc_weekly_total","24",4327,194,0.00861025987981056,0.00909389209206394,0.000483632212253378
"base_health_alc_weekly_total","25",3157,149,0.00628208699804991,0.00698448413256457,0.000702397134514665
