"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"94",0.02,14,"strat",1824692.90875877,-5116.60630378843,199.489813711152,-10350.3269649367
"95",0.02,14,"calib",1713640.03814634,-3961.95394924164,1354.14216825794,-121403.197577364
"96",0.02,14,"lasso",1890970.55335105,-6153.45602952592,-837.359912026336,55927.3176273457
"97",0.02,14,"logit",2019746.90892043,-8409.90238234549,-3093.80626484591,184703.673196724
"98",0.02,14,"bart",1822246.59937007,-5054.78493709707,261.311180402507,-12796.6363536383
"99",0.02,15,"none",1903084.58279478,-6288.81727350747,-972.721156007893,68041.3470710709
"100",0.02,15,"rake",1841476.40180941,-5383.62065005074,-67.5245325511578,6433.16608569934
"101",0.02,15,"strat",1906151.78960889,-6333.58132242622,-1017.48520492664,71108.553885188
"102",0.02,15,"calib",1864295.03253102,-5770.87798942363,-454.781871924053,29251.7968073143
"103",0.02,15,"lasso",1882631.05040628,-6013.72546009305,-697.629342593467,47587.8146825773
"104",0.02,15,"logit",2077346.43185576,-9095.54790480746,-3779.45178730788,242303.196132049
"105",0.02,15,"bart",1894044.32211032,-6119.8225261968,-803.726408697225,59001.0863866098
"106",0.02,16,"none",1905991.53321881,-6323.88831625357,-1007.79219875399,70948.2974951006
"107",0.02,16,"rake",1927989.76699788,-6801.98973301856,-1485.89361551898,92946.5312741725
"108",0.02,16,"strat",1888826.14097274,-6099.08021259884,-782.984095099262,53782.9052490336
"109",0.02,16,"calib",1879764.32386297,-6038.89342839021,-722.797310890634,44721.0881392623
"110",0.02,16,"lasso",1860101.32559631,-5732.15461003879,-416.058492539216,25058.0898726005
"111",0.02,16,"logit",1941794.43164949,-6932.95865790293,-1616.86254040335,106751.195925784
"112",0.02,16,"bart",1920891.91642933,-6565.48561026266,-1249.38949276308,85848.680705619
"113",0.02,17,"none",1900222.68926432,-6246.42319897526,-930.327081475679,65179.4535406115
"114",0.02,17,"rake",1841028.65845547,-5403.78701244909,-87.69089494951,5985.42273176159
"115",0.02,17,"strat",1890824.51031549,-6101.60838727254,-785.512269772966,55781.2745917863
"116",0.02,17,"calib",1859966.88097794,-5659.42390615557,-343.327788655988,24923.6452542371
"117",0.02,17,"lasso",1877792.28143175,-5944.12489774519,-628.028780245613,42749.045708044
"118",0.02,17,"logit",1875254.27227014,-5919.14101518476,-603.04489768518,40211.0365464306
"119",0.02,17,"bart",1901301.99850796,-6193.88428894964,-877.788171450056,66258.7627842536
"120",0.02,18,"none",1905673.62458605,-6325.57204254603,-1009.47592504645,70630.3888623484
"121",0.02,18,"rake",1851044.40049387,-5548.72586394232,-232.629746442739,16001.1647701645
"122",0.02,18,"strat",1956024.21227179,-7081.1509078029,-1765.05479030332,120980.976548085
"123",0.02,18,"calib",1770965.74952628,-4145.3665520181,1170.72956548148,-64077.4861974281
"124",0.02,18,"lasso",1871891.74790545,-5874.69821552781,-558.602098028233,36848.5121817475
