"","prop_sampled","sim_num","method","(Intercept)","age"
"151",0.05,22,"calib",0,1.01058100689551e-106
"152",0.05,22,"lasso",0,1.1899081088229e-66
"153",0.05,22,"logit",0,5.06909092811809e-80
"154",0.05,22,"bart",0,1.51227298556791e-81
"155",0.05,23,"none",0,2.77805166112307e-73
"156",0.05,23,"rake",0,1.47456057770539e-75
"157",0.05,23,"strat",0,3.98089046193357e-84
"158",0.05,23,"calib",0,3.15222589673236e-50
"159",0.05,23,"lasso",0,1.07647786940066e-84
"160",0.05,23,"logit",0,4.9833410578041e-83
"161",0.05,23,"bart",0,8.51709703457908e-92
"162",0.05,24,"none",0,7.48476932292865e-74
"163",0.05,24,"rake",0,1.9806368367841e-93
"164",0.05,24,"strat",0,1.99392369580552e-91
"165",0.05,24,"calib",0,7.81097186566182e-118
"166",0.05,24,"lasso",0,2.52485799158887e-80
"167",0.05,24,"logit",0,1.17317924799042e-99
"168",0.05,24,"bart",0,7.6702298259455e-91
"169",0.05,25,"none",0,2.16092444986583e-80
"170",0.05,25,"rake",0,7.80598348720203e-84
"171",0.05,25,"strat",0,1.34898255681199e-81
"172",0.05,25,"calib",0,1.49361650551135e-40
"173",0.05,25,"lasso",0,2.12362854446362e-83
"174",0.05,25,"logit",0,4.87272206584323e-77
"175",0.05,25,"bart",0,2.1308396689158e-85
"176",0.05,26,"none",0,1.83155654616111e-74
"177",0.05,26,"rake",0,1.97394154222412e-102
"178",0.05,26,"strat",0,2.46964524788444e-100
"179",0.05,26,"calib",0,4.32820890249817e-68
"180",0.05,26,"lasso",0,2.39599223014868e-109
"181",0.05,26,"logit",0,4.74512215045933e-111
"182",0.05,26,"bart",0,7.7193663727522e-94
"183",0.05,27,"none",0,1.9814894065818e-84
"184",0.05,27,"rake",0,5.92950090055495e-100
"185",0.05,27,"strat",0,1.54934317991797e-85
"186",0.05,27,"calib",0,3.75197665706222e-53
"187",0.05,27,"lasso",0,4.06948235506212e-117
"188",0.05,27,"logit",0,1.70780756020986e-101
"189",0.05,27,"bart",0,3.66869439295049e-81
"190",0.05,28,"none",0,1.30023939308668e-73
"191",0.05,28,"rake",0,1.76040584533827e-69
"192",0.05,28,"strat",0,8.08939671143298e-93
"193",0.05,28,"calib",0,3.80602906699844e-101
"194",0.05,28,"lasso",0,2.38713240531656e-72
"195",0.05,28,"logit",0,1.98306474563015e-77
"196",0.05,28,"bart",0,4.14762092116136e-97
"197",0.05,29,"none",0,1.30175034930303e-70
"198",0.05,29,"rake",0,1.37652922185571e-88
"199",0.05,29,"strat",0,1.67986948567803e-91
"200",0.05,29,"calib",0,4.22306428310908e-86
"201",0.05,29,"lasso",0,4.86482138423887e-84
"202",0.05,29,"logit",0,2.61272337068607e-75
"203",0.05,29,"bart",0,3.11256728762334e-98
"204",0.05,30,"none",0,9.22568149283794e-66
"205",0.05,30,"rake",0,1.66163420817145e-56
"206",0.05,30,"strat",0,3.19636399235282e-67
"207",0.05,30,"calib",0,2.13223516020225e-60
"208",0.05,30,"lasso",0,4.40583449737969e-58
"209",0.05,30,"logit",0,7.86988348554776e-46
"210",0.05,30,"bart",0,3.49941825786042e-80
"211",0.05,31,"none",0,1.81208238279539e-86
"212",0.05,31,"rake",0,6.07915524384535e-88
"213",0.05,31,"strat",0,2.43373362561346e-115
"214",0.05,31,"calib",0,4.61688373117109e-68
"215",0.05,31,"lasso",0,1.30202900812671e-84
"216",0.05,31,"logit",0,5.60280263947495e-181
"217",0.05,31,"bart",0,6.80871308623444e-81
"218",0.05,32,"none",0,4.3479091962414e-78
"219",0.05,32,"rake",0,2.08436850484511e-106
"220",0.05,32,"strat",0,4.7894319950496e-101
"221",0.05,32,"calib",0,1.10035597157401e-95
"222",0.05,32,"lasso",0,1.57147547548171e-79
"223",0.05,32,"logit",0,4.82250030930038e-136
"224",0.05,32,"bart",0,1.36345646190973e-99
"225",0.05,33,"none",0,1.02944355901119e-70
"226",0.05,33,"rake",0,6.49442705477899e-79
"227",0.05,33,"strat",0,1.11816961165455e-84
"228",0.05,33,"calib",0,5.6817619408473e-140
"229",0.05,33,"lasso",0,3.19314648631401e-70
"230",0.05,33,"logit",0,4.02239702296956e-86
"231",0.05,33,"bart",0,1.33392191479824e-76
"232",0.05,34,"none",0,8.51344740220431e-81
"233",0.05,34,"rake",0,8.65499438979326e-77
"234",0.05,34,"strat",0,8.0586869620925e-91
"235",0.05,34,"calib",0,5.63938311397471e-118
"236",0.05,34,"lasso",0,6.96478223720224e-87
"237",0.05,34,"logit",0,2.42989578918772e-43
"238",0.05,34,"bart",0,1.89343037228811e-96
"239",0.05,35,"none",0,1.90858069721106e-86
"240",0.05,35,"rake",0,1.49864965228598e-112
"241",0.05,35,"strat",0,1.5355808643733e-117
"242",0.05,35,"calib",0,2.73896632366499e-90
"243",0.05,35,"lasso",0,6.19318105884816e-125
"244",0.05,35,"logit",0,1.84338976843362e-126
"245",0.05,35,"bart",0,6.55838543572975e-126
"246",0.05,36,"none",0,1.91346754884097e-59
"247",0.05,36,"rake",0,1.7966508678472e-92
"248",0.05,36,"strat",0,1.29837440419168e-85
"249",0.05,36,"calib",0,3.74150083335637e-68
"250",0.05,36,"lasso",0,1.43773757543647e-59
"251",0.05,36,"logit",0,7.72549431563713e-104
"252",0.05,36,"bart",0,2.07653410776673e-91
"253",0.05,37,"none",0,4.93813362793969e-60
"254",0.05,37,"rake",0,6.48075448093694e-59
"255",0.05,37,"strat",0,1.36463169275396e-61
"256",0.05,37,"calib",0,3.53806099411683e-89
"257",0.05,37,"lasso",0,6.14799197064071e-57
"258",0.05,37,"logit",0,1.89259606623944e-68
"259",0.05,37,"bart",0,1.13026851674494e-67
"260",0.05,38,"none",0,5.93606242089067e-69
"261",0.05,38,"rake",0,8.841089387247e-90
"262",0.05,38,"strat",0,8.64487841245309e-93
"263",0.05,38,"calib",0,8.43557042145149e-76
"264",0.05,38,"lasso",0,9.68580269429621e-82
"265",0.05,38,"logit",0,2.47728857076893e-102
"266",0.05,38,"bart",0,3.12351551919235e-104
"267",0.05,39,"none",0,5.34414471803608e-76
"268",0.05,39,"rake",0,5.42325847651055e-98
"269",0.05,39,"strat",0,5.99534110173565e-93
"270",0.05,39,"calib",0,4.80363615071636e-101
"271",0.05,39,"lasso",0,1.40909025491489e-76
"272",0.05,39,"logit",0,1.91470025308402e-55
"273",0.05,39,"bart",0,3.53293288708721e-98
"274",0.05,40,"none",0,6.49887408238544e-70
"275",0.05,40,"rake",0,1.27931090352282e-60
"276",0.05,40,"strat",0,7.08726628280233e-83
