"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"124",0.057,18,"lasso",7.20768654764551e-53,7.6853572912796e-38
"125",0.057,18,"logit",3.43993776011646e-52,9.59505551147392e-46
"126",0.057,18,"bart",2.41129913926214e-94,1.21103155410522e-97
"127",0.057,19,"none",1.35201377130807e-55,4.29917220248086e-37
"128",0.057,19,"rake",1.35201377130807e-55,4.29917220248086e-37
"129",0.057,19,"strat",6.34913786141263e-57,2.97160059666096e-45
"130",0.057,19,"calib",2.73016288917683e-75,3.50571994448819e-60
"131",0.057,19,"lasso",6.39221127656804e-70,4.18778182157874e-53
"132",0.057,19,"logit",4.58643534814585e-66,8.65669907016927e-57
"133",0.057,19,"bart",6.57837755652696e-45,1.39593310209158e-31
"134",0.057,20,"none",2.15442341906432e-45,1.12526750426204e-28
"135",0.057,20,"rake",2.15442341906432e-45,1.12526750426204e-28
"136",0.057,20,"strat",1.12501980031373e-88,7.10694238595662e-84
"137",0.057,20,"calib",9.93988263609602e-76,3.04147864020955e-71
"138",0.057,20,"lasso",2.01699581263246e-46,4.10931868266334e-34
"139",0.057,20,"logit",1.35324397735984e-44,8.1484176786999e-35
"140",0.057,20,"bart",3.58815933797011e-86,1.58381621683871e-83
"141",0.057,21,"none",1.22893068153067e-41,2.44779403583697e-24
"142",0.057,21,"rake",1.22893068153067e-41,2.44779403583697e-24
"143",0.057,21,"strat",9.35959865632082e-42,1.04137456007061e-29
"144",0.057,21,"calib",5.99259901958819e-08,0.0291856088791183
"145",0.057,21,"lasso",4.06197344456377e-34,1.21247844885625e-19
"146",0.057,21,"logit",1.48484739545363e-33,1.26104427255369e-22
"147",0.057,21,"bart",9.51776603241271e-36,2.35740278820953e-26
"148",0.057,22,"none",1.18724307698245e-43,7.15937541261246e-27
"149",0.057,22,"rake",1.18724307698245e-43,7.15937541261246e-27
"150",0.057,22,"strat",3.00378024951823e-104,1.3964690174406e-97
"151",0.057,22,"calib",4.61971272105456e-51,2.10677625700286e-49
"152",0.057,22,"lasso",6.45963131432097e-45,2.77345380785019e-31
"153",0.057,22,"logit",1.89000480974883e-66,2.28139697786644e-55
"154",0.057,22,"bart",8.04432674934787e-91,2.1162133711322e-83
"155",0.057,23,"none",4.67211152674553e-53,5.06221489760928e-34
"156",0.057,23,"rake",4.67211152674553e-53,5.06221489760928e-34
"157",0.057,23,"strat",2.02348052006776e-50,4.23385408407099e-37
"158",0.057,23,"calib",3.90034777233055e-56,3.32720931228285e-32
"159",0.057,23,"lasso",1.01323128219974e-45,5.15533409639549e-33
"160",0.057,23,"logit",1.18314214385054e-43,4.28693772559248e-32
"161",0.057,23,"bart",4.03317953154686e-52,2.12196446967802e-40
"162",0.057,24,"none",7.29587476929144e-50,6.81727450715277e-32
"163",0.057,24,"rake",7.29587476929144e-50,6.81727450715277e-32
"164",0.057,24,"strat",1.75477251389648e-85,6.25006621403798e-81
"165",0.057,24,"calib",5.63078393986405e-61,2.45308044728445e-45
"166",0.057,24,"lasso",2.14483784293127e-53,2.49918498358076e-39
"167",0.057,24,"logit",1.21144026436156e-52,2.27362079279094e-42
"168",0.057,24,"bart",3.31838743850305e-66,9.63539440746585e-59
"169",0.057,25,"none",5.1101903142982e-52,4.16550549273944e-35
"170",0.057,25,"rake",5.1101903142982e-52,4.16550549273944e-35
"171",0.057,25,"strat",9.65368014502972e-56,5.0438201654028e-45
"172",0.057,25,"calib",7.6219944815385e-54,1.27812476218669e-36
"173",0.057,25,"lasso",1.58875165237821e-43,4.72130732887895e-32
"174",0.057,25,"logit",3.77930685104332e-49,4.66361111613247e-40
"175",0.057,25,"bart",2.73288999996511e-41,2.81818825776971e-30
"176",0.057,26,"none",4.20998805446773e-62,8.51742146485389e-42
"177",0.057,26,"rake",4.20998805446773e-62,8.51742146485389e-42
"178",0.057,26,"strat",1.20116553292815e-120,2.14886002346082e-118
"179",0.057,26,"calib",2.74640201300216e-144,1.60096398966834e-107
"180",0.057,26,"lasso",3.36510583268103e-91,2.30189351684343e-77
"181",0.057,26,"logit",8.77917176521866e-71,1.23565407011918e-61
"182",0.057,26,"bart",6.04990693431855e-99,2.48544422647905e-93
"183",0.057,27,"none",5.40793040164812e-56,4.16943791737756e-38
"184",0.057,27,"rake",5.40793040164812e-56,4.16943791737756e-38
"185",0.057,27,"strat",5.12012444122664e-89,3.28744462735511e-85
"186",0.057,27,"calib",2.31627937476041e-48,1.99705419422976e-36
"187",0.057,27,"lasso",5.69806065018408e-40,2.27504964534079e-30
"188",0.057,27,"logit",8.6690029922404e-65,9.83095663831431e-57
"189",0.057,27,"bart",7.0341252583693e-102,1.55056199842495e-102
"190",0.057,28,"none",2.56230858199115e-54,1.94146323960681e-34
"191",0.057,28,"rake",2.56230858199115e-54,1.94146323960681e-34
"192",0.057,28,"strat",1.21456438775968e-55,1.32554560338893e-40
"193",0.057,28,"calib",9.15547769816925e-94,8.72256757376363e-83
"194",0.057,28,"lasso",9.46971374281495e-52,1.22535454631328e-38
"195",0.057,28,"logit",1.17452287612464e-80,4.51674766131102e-75
"196",0.057,28,"bart",1.34642172779957e-79,9.43916522107291e-70
"197",0.057,29,"none",3.57777948835124e-47,2.70641838396903e-31
"198",0.057,29,"rake",3.57777948835124e-47,2.70641838396903e-31
"199",0.057,29,"strat",1.07282366670431e-46,1.67556062965558e-34
"200",0.057,29,"calib",5.32590776919255e-69,2.17144649053598e-62
"201",0.057,29,"lasso",2.95808879762406e-60,1.25743324848127e-43
"202",0.057,29,"logit",1.67774021450341e-46,2.33393346354702e-39
